what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui",1602069583952
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1602069583954
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1602069583989
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1602069584011
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1602069584012
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1602069584032
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1602069584068
started,bundle,org.eclipse.ui.intro.universal,3.2.400.v20100517,"org.eclipse.ui.intro.universal",1602069584068
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1602069584069
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1602069584070
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1602069584097
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1602069584118
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1602069584127
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1602069584128
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1602069584143
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1602069584152
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1602069584178
os,sysinfo,,,"win32",1602069584182
arch,sysinfo,,,"x86_64",1602069584182
ws,sysinfo,,,"win32",1602069584182
locale,sysinfo,,,"en_US",1602069584182
processors,sysinfo,,,"4",1602069584182
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1602069584182
java.runtime.version,sysinfo,,,"1.8.0_251-b08",1602069584182
java.specification.name,sysinfo,,,"Java Platform API Specification",1602069584182
java.specification.vendor,sysinfo,,,"Oracle Corporation",1602069584182
java.specification.version,sysinfo,,,"1.8",1602069584182
java.vendor,sysinfo,,,"Oracle Corporation",1602069584182
java.version,sysinfo,,,"1.8.0_251",1602069584182
java.vm.info,sysinfo,,,"mixed mode",1602069584182
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1602069584182
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1602069584182
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1602069584182
java.vm.specification.version,sysinfo,,,"1.8",1602069584182
java.vm.vendor,sysinfo,,,"Oracle Corporation",1602069584182
java.vm.version,sysinfo,,,"25.251-b08",1602069584182
